 Noun,Adjectives and Verbs
stopper,showing  gave  locate  big  false  zagging  different  encourages  opening  peaks
mark,handles  gave  question  let  told  cus  zagging  different  encourages  allowed  airdroid  tells
gain,killing  gained  remain  giving  absurd  waited  broke  calculated  elevation
measurement,imperial  responding  terrible  usable  doubling  intermittent  spurious  spotty  calculating
button/option,more?  sharing  f****  make  google+
resume,discover  button  said  stop  tapping  recording  force  start  exit  fastest
streetview,care  like  full  stat?  scribbling  looks  wants
waste,misses  sky  idle  vs  specific  twenty  beautiful  tell  miscalculated
order,connects  disappointed  predefined  miolink
how?,gave  locate  told  big  pass  know  astonishing  zagging  different  copy  encourages  allowed  airdroid  doubt  opening  tells  peaks
p7500,help  note  continuous  galaxy  detected  s3  fixed  samsung  kitkat  s4  stable  gen  helpful  smaller  discharged  grand  w/s4
height,known  agree
mile,rode  jump  nope  bring  half  lying  eleven  only  searched  empty  jumped  marked
shown???,"rendering  reliable  ""do  info  hesitating  wouldn't"
velocity,ave  reliable  speed  unreliable  hell  longer  graph
app?,accessing  made  recommend  forget  believe  flakey  ruin  love  gone  due
that's,needed  collected  do  cover
splits,leave  put  manual  automatic  run
second,converting  compatible  pro  created  file  send  microsoft  possible  manual  microsoft's  lat/long
bit,more?  continues  there's  mess  make  web  leaving  klutzy  offset  complex  segmenting  complicate  regains
computer,accessing  match  geotag  downloaded  talk  asked  next
level,unusual  launched  turns  fair  drain  measured
screen,meaning  blank  sending  remained  smaller  displays  black  sliding  resulting
people,syncing  docs  were  drive  shared
text,f****  huge  small  google+  shuts  link
help,constant  samsung  sending  sucked
abscissa,new  geeky  sharing  social  generic  suck
site,normal  more?  like  similar  endomondo  wider  make  web
calendar?,watch  contact  worse  hate  removed  getting
defeats,summary  stored  innovative  caused  more-or-less  existing  internal  gets  allows  daily  contained  entire
route,crazy  preferred  planned  w/  point  surprised  riddled  opening  directional  logged
longtime,favourite
zags,uses  handles  walk  zagging  sits  kill  uk  offset
skating,like  other  stupid  indicate  does
synch,syncing  classic  happens  drive  google  gionee  google+  syncs
conection,dotty  classic  pre-loading  map  beside  offline
random,packs  verging  logical  manual
movie,am  usable  holding
muti,route  crazy  preferred  planned  w/  point  riddled  running  opening  directional  logged
obstructions,aren't  show  burned  incorrect  burn  wish
movement,worked  accuracy  luklckaly  blue  improving  actual
wasnt,disappointment  discover  able  only  actual  post
sucks,loading  likely  calculates  prefer  reinstalled
power,much  uses  cpu  eats  face
skips,going  ruins  huge  randomly  making  contact  fro  looping  loses
summary,min/mile  stored  more-or-less  existing  gets  contained
desktop,received  click  disconnected  german  english  translating  seems  segmenting
max,maximum  biking  speed  showed  appeared  calculating  calculated
home,widget  xt  leave  lockscreen
"evil""","white  proper  theres  longer  ""do  offline"
mapmyride,help  care  like  earlier  miss
note,continuous  galaxy  detected  s3  fixed  samsung  buggy  kitkat  s4  hold  smoothing  android  stable  helpful  shouldnt  smaller  discharged  grand
mototracktour,route  tracked  preferred  count  wrong  displays  measured
connection,there's  eror  sad  disconnected  internet
setting,highest  turned  happened?  accuracy
river,insisted  dies  handles  walk  stupidest  built  randomly  january  zagging  sits  puts  uk  sit  viewed
statistics,"aggregate  unlocking  gmap  incorrect  engine"""
supports,bluetooth
map?,select  public  needed  read  make  them?  grey
type,map?  select  completed  contact?  read  pirate-ware  them?  effective
terrain,aware  classic  destroyed  pre-loading  stored  map  affected  allow  removing  handle  offline
goal,care  coordinate  like  unreliable  professional
ace,note  galaxy  detected  s3  samsung  installed  s4  performed  stable  helpful  grand  w/s4
razer,drained  editable  ur  #2  battery  note-3  drains  draining  droid
'elevation,crappy  consistent  computing  accurate  isn't
packet,signed  valid  packged  install  downloading
way,cuts  stupidest  fair  hot  inform  oddest  uh  imaginable
session's,uploading  performed  wanted  take  exit  recorded
aware,you're  such  stored  ending  offline
pls,constant  predefined  miolink  wanted
connects,advertised  preventing
limitations,paired  blue
visualizer,readable  created  focusing  allows
calaries,didnt  traveled  walking  affected  removing  burn  1-2km  wish
support,chinese  prevents  miolink  bluetooth  ant+  le  processes  user  quality  metric  usb  hrm  ble  restore
synthesis,is  poor  vocal  takes  deleted  understandable  spurious  uh  rendered  launching  behaving  /\
units,correct  remove  please  quality  gen  measure  restore  working?
patchy,constant  correct  once  large  lose  marking
day,couple
airplaneboatskissnowboardbut,"reliable  ""do  faster"
worked,fine  ditto  inconsistent  blue  stopped  improving  saving  actual
sucker,unusual  earth  google  drain  excessive  ur  erratic  #2  battery  drains  burns  60-mile
widget,alert  apply  responding  lockscreen  small  drain  consumes  offers  battery  drains  burns  eats  warned
generation,enjoyed  excessive  u  tied
shares,route  bring  preferred  wrong  only  riddled  draw  directional
holes,typical  few  walk  giant  creates  gets  isnt  recorded
biking,max
mph,kph  re-install
brand,new  s3  fewer  hold  performed  make  smaller
anyone,connecting  fallacious  indicate  having
human,cant  amazing  aggregate  converted  offers  get  super
starting,stopping  chew  kills  draining  launching  threw
qa,"say  offers  release  /  ""test"
galaxy,note  continuous  detected  s3  fixed  samsung  kitkat  s4  hold  performed  android  stable  helpful  smaller  discharged  grand  w/s4
lll,note  continuous  galaxy  detected  s3  samsung  s4  stable  helpful  smaller  discharged  grand  w/s4
version,latest  current  previous  older  obtain  update  last  updat  g+
zigzaggy,continues  mess  f****  mapping  hiking  web  leaving  calculating  resembles  jagged
mileage,match  bounce  pretty  see
